"Times of Malta"	"English"	"Germany"	"Poland"	"2"
"Times of Malta"	"English"	"Germany"	"Italy"	"3"
"Times of Malta"	"English"	"Germany"	"Ukraine"	"7"
"Times of Malta"	"English"	"Germany"	"Switzerland"	"1"
"Times of Malta"	"English"	"Germany"	"Syria"	"1"
"Times of Malta"	"English"	"Germany"	"Greece"	"13"
"Times of Malta"	"English"	"Germany"	"United Kingdom"	"1"
"Times of Malta"	"English"	"Germany"	"France"	"11"
"Times of Malta"	"English"	"Germany"	"Georgia"	"1"
"Times of Malta"	"English"	"Germany"	"Philippines"	"3"
"Times of Malta"	"English"	"Germany"	"United States of America"	"5"
"Times of Malta"	"English"	"Germany"	"Moldova"	"1"
"Times of Malta"	"English"	"Germany"	"Libya"	"1"
"Times of Malta"	"English"	"Germany"	"Turkey"	"1"
"Times of Malta"	"English"	"Germany"	"Egypt"	"1"
