"Times of Malta"	"English"	"Iran"	"Iraq"	"5"
"Times of Malta"	"English"	"Iran"	"Belgium"	"1"
"Times of Malta"	"English"	"Iran"	"Israel"	"9"
"Times of Malta"	"English"	"Iran"	"Singapore"	"2"
"Times of Malta"	"English"	"Iran"	"Switzerland"	"1"
"Times of Malta"	"English"	"Iran"	"Australia"	"1"
"Times of Malta"	"English"	"Iran"	"Yemen"	"6"
"Times of Malta"	"English"	"Iran"	"United Kingdom"	"1"
"Times of Malta"	"English"	"Iran"	"United States of America"	"22"
"Times of Malta"	"English"	"Iran"	"Venezuela"	"1"
"Times of Malta"	"English"	"Iran"	"Lebanon"	"1"
"Times of Malta"	"English"	"Iran"	"Libya"	"2"
"Times of Malta"	"English"	"Iran"	"Saudi Arabia"	"7"
