"Times of Malta"	"English"	"United Kingdom"	"Malaysia"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Falkland Islands"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Iran"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Iraq"	"6"
"Times of Malta"	"English"	"United Kingdom"	"Thailand"	"4"
"Times of Malta"	"English"	"United Kingdom"	"Belgium"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Israel"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Pakistan"	"1"
"Times of Malta"	"English"	"United Kingdom"	"China"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Malta"	"4"
"Times of Malta"	"English"	"United Kingdom"	"Syria"	"7"
"Times of Malta"	"English"	"United Kingdom"	"Afghanistan"	"2"
"Times of Malta"	"English"	"United Kingdom"	"Bahrain"	"1"
"Times of Malta"	"English"	"United Kingdom"	"France"	"5"
"Times of Malta"	"English"	"United Kingdom"	"United States of America"	"11"
"Times of Malta"	"English"	"United Kingdom"	"Libya"	"9"
"Times of Malta"	"English"	"United Kingdom"	"Nigeria"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Tunisia"	"4"
"Times of Malta"	"English"	"United Kingdom"	"Brazil"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Germany"	"1"
"Times of Malta"	"English"	"United Kingdom"	"Egypt"	"2"
