"China"	"China Daily"	"China"	"3889"
"China"	"China Daily"	"United States of America"	"2254"
"China"	"South China Morning Post"	"United States of America"	"1357"
"China"	"China Daily"	"Japan"	"785"
"China"	"China Daily"	"Ukraine"	"556"
"China"	"South China Morning Post"	"United Kingdom"	"368"
"China"	"China Daily"	"India"	"337"
"China"	"China Daily"	"United Kingdom"	"337"
"China"	"China Daily"	"Australia"	"303"
"China"	"China Daily"	"Malaysia"	"302"
"China"	"China Daily"	"France"	"264"
"China"	"China Daily"	"Thailand"	"233"
"China"	"South China Morning Post"	"Ukraine"	"202"
"China"	"China Daily"	"Germany"	"198"
"China"	"South China Morning Post"	"France"	"196"
"China"	"China Daily"	"Iran"	"189"
"China"	"China Daily"	"Brazil"	"188"
"China"	"China Daily"	"Israel"	"182"
"China"	"China Daily"	"Syria"	"166"
"China"	"China Daily"	"Nepal"	"159"
"China"	"China Daily"	"Pakistan"	"153"
"China"	"China Daily"	"Iraq"	"147"
"China"	"China Daily"	"Afghanistan"	"144"
"China"	"South China Morning Post"	"Australia"	"136"
"China"	"China Daily"	"Philippines"	"134"
"China"	"China Daily"	"Indonesia"	"128"
"China"	"China Daily"	"Italy"	"125"
"China"	"China Daily"	"South Korea"	"123"
"China"	"China Daily"	"Myanmar"	"117"
"China"	"China Daily"	"Egypt"	"116"
"China"	"China Daily"	"Cuba"	"104"
"China"	"South China Morning Post"	"Canada"	"103"
"China"	"China Daily"	"Greece"	"101"
"China"	"South China Morning Post"	"Egypt"	"98"
"China"	"South China Morning Post"	"Iraq"	"95"
"China"	"South China Morning Post"	"South Africa"	"93"
"China"	"China Daily"	"Turkey"	"91"
"China"	"China Daily"	"Yemen"	"84"
"China"	"China Daily"	"Canada"	"84"
"China"	"South China Morning Post"	"Syria"	"80"
"China"	"China Daily"	"Kenya"	"75"
"China"	"China Daily"	"Nigeria"	"73"
"China"	"China Daily"	"Chile"	"72"
"China"	"South China Morning Post"	"China"	"72"
"China"	"South China Morning Post"	"Italy"	"70"
"China"	"South China Morning Post"	"Nigeria"	"68"
"China"	"China Daily"	"Libya"	"64"
"China"	"South China Morning Post"	"Germany"	"64"
"China"	"South China Morning Post"	"Spain"	"64"
