"United States of America"	"The New York Times"	"China"	"2156"
"United States of America"	"The New York Times"	"Ukraine"	"1449"
"United States of America"	"The New York Times"	"United States of America"	"1335"
"United States of America"	"The New York Times"	"India"	"1212"
"United States of America"	"The New York Times"	"Israel"	"1210"
"United States of America"	"Washington Post"	"Ukraine"	"1192"
"United States of America"	"The New York Times"	"Syria"	"917"
"United States of America"	"The New York Times"	"Iraq"	"890"
"United States of America"	"Washington Post"	"Israel"	"836"
"United States of America"	"The New York Times"	"United Kingdom"	"819"
"United States of America"	"The New York Times"	"Iran"	"815"
"United States of America"	"The New York Times"	"France"	"804"
"United States of America"	"The New York Times"	"Afghanistan"	"723"
"United States of America"	"Washington Post"	"China"	"658"
"United States of America"	"Washington Post"	"United States of America"	"648"
"United States of America"	"Washington Post"	"Iraq"	"610"
"United States of America"	"The New York Times"	"Hong Kong"	"589"
"United States of America"	"The New York Times"	"Pakistan"	"541"
"United States of America"	"Washington Post"	"Afghanistan"	"539"
"United States of America"	"The New York Times"	"Egypt"	"528"
"United States of America"	"Washington Post"	"Syria"	"509"
"United States of America"	"Washington Post"	"Iran"	"456"
"United States of America"	"The New York Times"	"Germany"	"437"
"United States of America"	"The New York Times"	"Turkey"	"410"
"United States of America"	"The New York Times"	"Japan"	"407"
"United States of America"	"Washington Post"	"India"	"374"
"United States of America"	"The New York Times"	"North Korea"	"344"
"United States of America"	"Washington Post"	"United Kingdom"	"342"
"United States of America"	"The New York Times"	"Yemen"	"328"
"United States of America"	"The New York Times"	"Greece"	"322"
"United States of America"	"The New York Times"	"South Korea"	"295"
"United States of America"	"Washington Post"	"Pakistan"	"289"
"United States of America"	"The New York Times"	"South Africa"	"272"
"United States of America"	"The New York Times"	"Nigeria"	"267"
"United States of America"	"The New York Times"	"Mexico"	"263"
"United States of America"	"Washington Post"	"France"	"254"
"United States of America"	"The New York Times"	"Vatican"	"254"
"United States of America"	"The New York Times"	"Malaysia"	"248"
"United States of America"	"The New York Times"	"Canada"	"231"
"United States of America"	"The New York Times"	"Saudi Arabia"	"228"
"United States of America"	"The New York Times"	"Spain"	"226"
"United States of America"	"The New York Times"	"Brazil"	"225"
"United States of America"	"The New York Times"	"Cuba"	"223"
"United States of America"	"The New York Times"	"Italy"	"223"
"United States of America"	"Washington Post"	"Malaysia"	"220"
"United States of America"	"Washington Post"	"North Korea"	"216"
"United States of America"	"Washington Post"	"Yemen"	"215"
"United States of America"	"Washington Post"	"Egypt"	"214"
"United States of America"	"The New York Times"	"Libya"	"196"
"United States of America"	"The New York Times"	"Australia"	"193"
"United States of America"	"Washington Post"	"Japan"	"183"
"United States of America"	"Washington Post"	"Hong Kong"	"182"
"United States of America"	"The New York Times"	"Thailand"	"165"
"United States of America"	"The New York Times"	"Nepal"	"154"
"United States of America"	"The New York Times"	"Sudan"	"153"
"United States of America"	"The New York Times"	"Indonesia"	"152"
"United States of America"	"The New York Times"	"Tunisia"	"150"
"United States of America"	"Washington Post"	"Saudi Arabia"	"146"
"United States of America"	"Washington Post"	"Turkey"	"143"
"United States of America"	"The New York Times"	"Liberia"	"138"
"United States of America"	"Washington Post"	"Mexico"	"132"
"United States of America"	"Washington Post"	"Germany"	"130"
"United States of America"	"Washington Post"	"Cuba"	"123"
"United States of America"	"Washington Post"	"South Korea"	"121"
"United States of America"	"The New York Times"	"Myanmar"	"117"
"United States of America"	"The New York Times"	"Somalia"	"115"
"United States of America"	"The New York Times"	"Lebanon"	"115"
"United States of America"	"The New York Times"	"Kenya"	"114"
"United States of America"	"The New York Times"	"Ireland"	"114"
"United States of America"	"Washington Post"	"Brazil"	"111"
"United States of America"	"The New York Times"	"Taiwan"	"110"
"United States of America"	"The New York Times"	"Argentina"	"110"
"United States of America"	"The New York Times"	"Venezuela"	"109"
"United States of America"	"The New York Times"	"Philippines"	"104"
"United States of America"	"The New York Times"	"Jordan"	"102"
"United States of America"	"Washington Post"	"Nepal"	"96"
"United States of America"	"The New York Times"	"South Sudan"	"94"
"United States of America"	"The New York Times"	"Bangladesh"	"92"
"United States of America"	"Washington Post"	"Vatican"	"89"
"United States of America"	"Washington Post"	"Nigeria"	"88"
"United States of America"	"The New York Times"	"Sri Lanka"	"87"
"United States of America"	"Washington Post"	"Australia"	"87"
"United States of America"	"The New York Times"	"Poland"	"87"
"United States of America"	"Washington Post"	"Lebanon"	"86"
"United States of America"	"Washington Post"	"Libya"	"74"
"United States of America"	"The New York Times"	"Central African Republic"	"70"
"United States of America"	"Washington Post"	"Greece"	"70"
"United States of America"	"The New York Times"	"Qatar"	"67"
"United States of America"	"The New York Times"	"Colombia"	"67"
"United States of America"	"The New York Times"	"Switzerland"	"66"
"United States of America"	"Washington Post"	"Venezuela"	"65"
"United States of America"	"The New York Times"	"Sweden"	"60"
"United States of America"	"The New York Times"	"Mali"	"57"
"United States of America"	"Washington Post"	"Tunisia"	"55"
"United States of America"	"Washington Post"	"Jordan"	"53"
"United States of America"	"The New York Times"	"Denmark"	"52"
"United States of America"	"The New York Times"	"Belgium"	"51"
"United States of America"	"The New York Times"	"Sierra Leone"	"49"
"United States of America"	"The New York Times"	"Burundi"	"47"
"United States of America"	"The New York Times"	"Haiti"	"47"
"United States of America"	"Washington Post"	"Kenya"	"45"
"United States of America"	"Washington Post"	"Canada"	"44"
"United States of America"	"The New York Times"	"Burkina Faso"	"44"
"United States of America"	"The New York Times"	"Armenia"	"42"
"United States of America"	"Washington Post"	"Thailand"	"39"
"United States of America"	"The New York Times"	"Algeria"	"38"
"United States of America"	"Washington Post"	"Sudan"	"38"
"United States of America"	"Washington Post"	"Philippines"	"37"
"United States of America"	"The New York Times"	"Congo"	"37"
"United States of America"	"Washington Post"	"South Africa"	"36"
"United States of America"	"Washington Post"	"Myanmar"	"36"
"United States of America"	"The New York Times"	"Chile"	"35"
"United States of America"	"The New York Times"	"Rwanda"	"35"
"United States of America"	"The New York Times"	"Cambodia"	"35"
"United States of America"	"The New York Times"	"United Arab Emirates"	"35"
"United States of America"	"The New York Times"	"Hungary"	"35"
"United States of America"	"Washington Post"	"Liberia"	"34"
"United States of America"	"The New York Times"	"Bulgaria"	"33"
"United States of America"	"Washington Post"	"Italy"	"32"
"United States of America"	"The New York Times"	"El Salvador"	"31"
"United States of America"	"The New York Times"	"Bahrain"	"31"
