"en_NZL_nzhera_int"	"New Zealand Herald"	"United States of America"	"14352"
"en_CHN_chinad_int"	"China Daily"	"China"	"3889"
"en_NGA_thiday_int"	"This Day"	"Nigeria"	"2797"
"en_GBR_dailyt_int"	"Daily Telegraph"	"United States of America"	"2774"
"en_NZL_nzhera_int"	"New Zealand Herald"	"China"	"2706"
"en_CHN_chinad_int"	"China Daily"	"United States of America"	"2254"
"es_CHL_mercur_int"	"El mercurio"	"United States of America"	"2213"
"en_SGP_twoday_int"	"Today"	"Ukraine"	"2193"
"en_AUS_hersun_int"	"Herald Sun"	"Australia"	"2162"
"en_USA_nytime_int"	"The New York Times"	"China"	"2156"
"en_SGP_twoday_int"	"Today"	"United States of America"	"1979"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Ukraine"	"1765"
"en_SGP_twoday_int"	"Today"	"China"	"1728"
"en_SGP_twoday_int"	"Today"	"Syria"	"1685"
"en_NZL_nzhera_int"	"New Zealand Herald"	"United Kingdom"	"1631"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Syria"	"1524"
"en_NZL_nzhera_int"	"New Zealand Herald"	"France"	"1523"
"en_USA_nytime_int"	"The New York Times"	"Ukraine"	"1449"
"en_SGP_twoday_int"	"Today"	"Iraq"	"1407"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Israel"	"1391"
"en_CHN_mopost_int"	"South China Morning Post"	"United States of America"	"1357"
"en_IND_hindti_int"	"Hindustan Times"	"United States of America"	"1353"
"en_USA_nytime_int"	"The New York Times"	"United States of America"	"1335"
"es_ESP_elpais_int"	"El Pais"	"United States of America"	"1306"
"es_CHL_tercer_int"	"La tercera"	"United States of America"	"1301"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Germany"	"1279"
"es_MEX_univer_int"	"El Universal"	"United States of America"	"1262"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Mexico"	"1259"
"en_JPN_jatime_int"	"Japan Times"	"United States of America"	"1254"
"en_SGP_twoday_int"	"Today"	"Iran"	"1234"
"en_USA_nytime_int"	"The New York Times"	"India"	"1212"
"en_USA_nytime_int"	"The New York Times"	"Israel"	"1210"
"en_USA_wapost_int"	"Washington Post"	"Ukraine"	"1192"
"en_SGP_twoday_int"	"Today"	"Israel"	"1174"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Iraq"	"1172"
"en_GBR_dailyt_int"	"Daily Telegraph"	"United Kingdom"	"1102"
"en_NZL_nzhera_int"	"New Zealand Herald"	"India"	"1086"
"es_ARG_nacion_int"	"Le Nacion"	"United States of America"	"1081"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Iran"	"1065"
"en_SGP_twoday_int"	"Today"	"United Kingdom"	"1051"
"en_SGP_twoday_int"	"Today"	"France"	"1030"
"en_GBR_dailyt_int"	"Daily Telegraph"	"Ukraine"	"999"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Japan"	"989"
"en_SGP_twoday_int"	"Today"	"Yemen"	"932"
"en_AUS_austra_int"	"The Australian"	"United States of America"	"925"
"en_USA_nytime_int"	"The New York Times"	"Syria"	"917"
"en_USA_nytime_int"	"The New York Times"	"Iraq"	"890"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Egypt"	"878"
"es_CHL_tercer_int"	"La tercera"	"Ukraine"	"863"
"fr_FRA_lmonde_int"	"Le Monde"	"United States of America"	"856"
"en_PAK_newint_int"	"The News International"	"United States of America"	"855"
"en_USA_wapost_int"	"Washington Post"	"Israel"	"836"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Greece"	"831"
"fr_BEL_lesoir_int"	"Le soir"	"Ukraine"	"827"
"en_USA_nytime_int"	"The New York Times"	"United Kingdom"	"819"
"en_USA_nytime_int"	"The New York Times"	"Iran"	"815"
"en_SGP_twoday_int"	"Today"	"Japan"	"813"
"en_USA_nytime_int"	"The New York Times"	"France"	"804"
"en_IND_tindia_int"	"The Times of India"	"United States of America"	"800"
"en_GBR_dailyt_int"	"Daily Telegraph"	"France"	"795"
"fr_BEL_lesoir_int"	"Le soir"	"United States of America"	"793"
"en_CHN_chinad_int"	"China Daily"	"Japan"	"785"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Australia"	"777"
"es_ESP_elpais_int"	"El Pais"	"Ukraine"	"756"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Afghanistan"	"748"
"en_SGP_twoday_int"	"Today"	"Turkey"	"733"
"es_CHL_mercur_int"	"El mercurio"	"Ukraine"	"732"
"en_USA_nytime_int"	"The New York Times"	"Afghanistan"	"723"
"en_SGP_twoday_int"	"Today"	"Germany"	"715"
"en_NZL_nzhera_int"	"New Zealand Herald"	"Brazil"	"705"
