"La Jordana (Mex)"	"United States of America"	"377"
"La Jordana (Mex)"	"Venezuela"	"228"
"La Jordana (Mex)"	"Cuba"	"183"
"La Jordana (Mex)"	"Ukraine"	"161"
"La Jordana (Mex)"	"Spain"	"155"
"La Jordana (Mex)"	"Israel"	"141"
"La Jordana (Mex)"	"Brazil"	"130"
"La Jordana (Mex)"	"Argentina"	"129"
"La Jordana (Mex)"	"Syria"	"100"
"La Jordana (Mex)"	"Chile"	"87"
"La Jordana (Mex)"	"Iraq"	"84"
"La Jordana (Mex)"	"Colombia"	"82"
"La Jordana (Mex)"	"France"	"82"
"La Jordana (Mex)"	"Vatican"	"69"
"La Jordana (Mex)"	"Bolivia"	"58"
"La Jordana (Mex)"	"Greece"	"57"
"La Jordana (Mex)"	"Germany"	"55"
"La Jordana (Mex)"	"United Kingdom"	"51"
"La Jordana (Mex)"	"Iran"	"44"
"La Jordana (Mex)"	"Nigeria"	"40"
"La Jordana (Mex)"	"Italy"	"33"
"La Jordana (Mex)"	"Hong Kong"	"31"
"La Jordana (Mex)"	"China"	"29"
"La Jordana (Mex)"	"Yemen"	"29"
"La Jordana (Mex)"	"Uruguay"	"27"
"La Jordana (Mex)"	"Egypt"	"25"
"La Jordana (Mex)"	"Guatemala"	"25"
"La Jordana (Mex)"	"Turkey"	"24"
"La Jordana (Mex)"	"Libya"	"22"
"La Jordana (Mex)"	"Afghanistan"	"20"
"La Jordana (Mex)"	"Saudi Arabia"	"20"
"La Jordana (Mex)"	"Mexico"	"17"
"La Jordana (Mex)"	"Tunisia"	"15"
"La Jordana (Mex)"	"Panama"	"13"
"La Jordana (Mex)"	"Pakistan"	"13"
"La Jordana (Mex)"	"Nepal"	"10"
"La Jordana (Mex)"	"India"	"9"
"La Jordana (Mex)"	"Seychelles"	"9"
"La Jordana (Mex)"	"South Korea"	"8"
"La Jordana (Mex)"	"Kenya"	"8"
"La Jordana (Mex)"	"Jordan"	"8"
"La Jordana (Mex)"	"Sweden"	"7"
"La Jordana (Mex)"	"Malaysia"	"7"
"La Jordana (Mex)"	"Japan"	"7"
"La Jordana (Mex)"	"Belgium"	"6"
"La Jordana (Mex)"	"Switzerland"	"6"
"La Jordana (Mex)"	"Haiti"	"6"
"La Jordana (Mex)"	"Cameroon"	"5"
"La Jordana (Mex)"	"Lebanon"	"5"
"La Jordana (Mex)"	"Honduras"	"5"
"La Jordana (Mex)"	"Canada"	"5"
"La Jordana (Mex)"	"El Salvador"	"5"
"La Jordana (Mex)"	"Armenia"	"4"
"La Jordana (Mex)"	"Philippines"	"4"
"La Jordana (Mex)"	"Denmark"	"4"
"La Jordana (Mex)"	"Taiwan"	"4"
"La Jordana (Mex)"	"Vietnam"	"4"
"La Jordana (Mex)"	"North Korea"	"4"
"La Jordana (Mex)"	"Indonesia"	"4"
"La Jordana (Mex)"	"Mali"	"3"
"La Jordana (Mex)"	"Costa Rica"	"3"
"La Jordana (Mex)"	"Somalia"	"3"
"La Jordana (Mex)"	"Chad"	"3"
"La Jordana (Mex)"	"Burundi"	"3"
"La Jordana (Mex)"	"Belarus"	"3"
"La Jordana (Mex)"	"Algeria"	"3"
"La Jordana (Mex)"	"Australia"	"3"
"La Jordana (Mex)"	"Burkina Faso"	"3"
"La Jordana (Mex)"	"Niger"	"2"
"La Jordana (Mex)"	"Macedonia"	"2"
"La Jordana (Mex)"	"Croatia"	"2"
"La Jordana (Mex)"	"Nicaragua"	"2"
"La Jordana (Mex)"	"Portugal"	"2"
"La Jordana (Mex)"	"Thailand"	"2"
"La Jordana (Mex)"	"Serbia"	"2"
"La Jordana (Mex)"	"South Africa"	"2"
"La Jordana (Mex)"	"Sudan"	"2"
"La Jordana (Mex)"	"Qatar"	"2"
"La Jordana (Mex)"	"Albania"	"2"
"La Jordana (Mex)"	"Hungary"	"1"
"La Jordana (Mex)"	"Ethiopia"	"1"
"La Jordana (Mex)"	"Monaco"	"1"
"La Jordana (Mex)"	"Slovakia"	"1"
"La Jordana (Mex)"	"Peru"	"1"
"La Jordana (Mex)"	"South Sudan"	"1"
"La Jordana (Mex)"	"Ireland"	"1"
"La Jordana (Mex)"	"Ghana"	"1"
"La Jordana (Mex)"	"Bangladesh"	"1"
"La Jordana (Mex)"	"Dominican Republic"	"1"
"La Jordana (Mex)"	"Kuwait"	"1"
"La Jordana (Mex)"	"Paraguay"	"1"
"La Jordana (Mex)"	"Rwanda"	"1"
"La Jordana (Mex)"	"Singapore"	"1"
"La Jordana (Mex)"	"Poland"	"1"
"La Jordana (Mex)"	"Austria"	"1"
"La Jordana (Mex)"	"Moldova"	"1"
"La Jordana (Mex)"	"Myanmar"	"1"
"La Jordana (Mex)"	"Cambodia"	"1"
"La Jordana (Mex)"	"Malta"	"1"
"La Jordana (Mex)"	"Lithuania"	"1"
"La Jordana (Mex)"	"Norway"	"1"
