"The News International"	"United States of America"	"855"
"The News International"	"India"	"550"
"The News International"	"China"	"357"
"The News International"	"Ukraine"	"324"
"The News International"	"Iran"	"296"
"The News International"	"Syria"	"287"
"The News International"	"United Kingdom"	"282"
"The News International"	"Turkey"	"258"
"The News International"	"Iraq"	"224"
"The News International"	"Israel"	"201"
"The News International"	"Egypt"	"181"
"The News International"	"France"	"172"
"The News International"	"Japan"	"164"
"The News International"	"Afghanistan"	"145"
"The News International"	"Thailand"	"139"
"The News International"	"Germany"	"123"
"The News International"	"Philippines"	"115"
"The News International"	"Australia"	"103"
"The News International"	"Nigeria"	"91"
"The News International"	"Libya"	"90"
"The News International"	"Yemen"	"90"
"The News International"	"Saudi Arabia"	"82"
"The News International"	"Myanmar"	"76"
"The News International"	"Italy"	"64"
"The News International"	"Malaysia"	"61"
"The News International"	"United Arab Emirates"	"59"
"The News International"	"Indonesia"	"55"
"The News International"	"Nepal"	"53"
"The News International"	"Spain"	"51"
"The News International"	"Vatican"	"48"
"The News International"	"Tunisia"	"40"
"The News International"	"Sri Lanka"	"36"
"The News International"	"Sudan"	"36"
"The News International"	"Lebanon"	"33"
"The News International"	"Taiwan"	"32"
"The News International"	"Venezuela"	"31"
"The News International"	"Canada"	"30"
"The News International"	"Qatar"	"27"
"The News International"	"North Korea"	"27"
"The News International"	"Cuba"	"26"
"The News International"	"Sweden"	"26"
"The News International"	"South Korea"	"24"
"The News International"	"Greece"	"22"
"The News International"	"Kenya"	"22"
"The News International"	"Jordan"	"22"
"The News International"	"Kuwait"	"21"
"The News International"	"Bahrain"	"21"
"The News International"	"Somalia"	"20"
"The News International"	"Poland"	"19"
"The News International"	"Brazil"	"19"
"The News International"	"Hong Kong"	"18"
"The News International"	"Bangladesh"	"16"
"The News International"	"Cambodia"	"16"
"The News International"	"South Africa"	"16"
"The News International"	"Switzerland"	"15"
"The News International"	"Morocco"	"13"
"The News International"	"Mexico"	"13"
"The News International"	"Singapore"	"13"
"The News International"	"Maldives"	"12"
"The News International"	"South Sudan"	"12"
"The News International"	"Sierra Leone"	"11"
"The News International"	"Mali"	"10"
"The News International"	"Norway"	"9"
"The News International"	"Romania"	"9"
"The News International"	"Belgium"	"9"
"The News International"	"Colombia"	"9"
"The News International"	"Liberia"	"8"
"The News International"	"Algeria"	"8"
"The News International"	"Central African Republic"	"7"
"The News International"	"Chile"	"7"
"The News International"	"Congo"	"6"
"The News International"	"Denmark"	"6"
"The News International"	"Austria"	"6"
"The News International"	"Serbia"	"6"
"The News International"	"Ireland"	"6"
"The News International"	"Argentina"	"5"
"The News International"	"Armenia"	"5"
"The News International"	"Cameroon"	"5"
"The News International"	"Uruguay"	"5"
"The News International"	"Fiji"	"5"
"The News International"	"Chad"	"5"
"The News International"	"Georgia"	"5"
"The News International"	"Cyprus"	"5"
"The News International"	"Honduras"	"4"
"The News International"	"Rwanda"	"4"
"The News International"	"Guinea"	"4"
"The News International"	"Mozambique"	"4"
"The News International"	"Uganda"	"4"
"The News International"	"Bulgaria"	"4"
"The News International"	"Uzbekistan"	"4"
"The News International"	"Senegal"	"4"
"The News International"	"Croatia"	"4"
"The News International"	"Azerbaijan"	"4"
"The News International"	"Albania"	"3"
"The News International"	"Oman"	"3"
"The News International"	"Finland"	"3"
"The News International"	"Gambia"	"3"
"The News International"	"Estonia"	"3"
"The News International"	"Malta"	"3"
"The News International"	"Niger"	"3"
"The News International"	"Latvia"	"3"
"The News International"	"Czech Republic"	"3"
"The News International"	"Burundi"	"3"
"The News International"	"Belarus"	"3"
"The News International"	"Moldova"	"3"
"The News International"	"Pakistan"	"3"
"The News International"	"Slovakia"	"3"
"The News International"	"Burkina Faso"	"3"
"The News International"	"Tonga"	"2"
"The News International"	"Greenland"	"2"
"The News International"	"Tajikistan"	"2"
"The News International"	"Bolivia"	"2"
"The News International"	"Hungary"	"2"
"The News International"	"Kyrgyzstan"	"2"
"The News International"	"Macau"	"2"
"The News International"	"Vanuatu"	"2"
"The News International"	"Tanzania"	"2"
"The News International"	"Ethiopia"	"2"
"The News International"	"Bhutan"	"2"
"The News International"	"Lesotho"	"2"
"The News International"	"Portugal"	"2"
"The News International"	"Haiti"	"2"
"The News International"	"Peru"	"2"
"The News International"	"Vietnam"	"1"
"The News International"	"Iceland"	"1"
"The News International"	"Benin"	"1"
"The News International"	"Timor-Leste"	"1"
"The News International"	"Malawi"	"1"
"The News International"	"Slovenia"	"1"
"The News International"	"Madagascar"	"1"
"The News International"	"Papua New Guinea"	"1"
"The News International"	"Guatemala"	"1"
"The News International"	"Zambia"	"1"
"The News International"	"Solomon Islands"	"1"
"The News International"	"Kazakhstan"	"1"
"The News International"	"Guinea-Bissau"	"1"
"The News International"	"Panama"	"1"
"The News International"	"El Salvador"	"1"
