"pl_POL_wp_int" "2017-05-22 10:56:00" "Internauta ujawnia kulisy Opola. ""Bojkot festiwalu ogłaszają nawet pracownicy TVP"" " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1064002238-1270555561/kurski.jpg"" width=""308"" /> &" "34;Budżet się nie dopina. TVP odwołuje rezerwacje w opolskich hotelach&" "34;. Dziennikarz Piotr Mościcki opisał na Facebooku trudną sytuację, w jakiej..."
"pl_POL_wp_int" "2017-05-22 10:47:00" "Nowoczesna chce rozdziału państwa i Kościoła. ""Należy mu się szacunek, ale nie uległość""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1502342610--1835131823/lubnauer-halicki.png"" width=""308"" /> Nowoczesna na swoim kongresie partyjnym zaproponowała rozdział państwa i Kościoła. - Kościołowi należy się szacunek, ale nie uległość - mówiła w..."
"pl_POL_wp_int" "2017-05-22 10:32:00" "Wypadek cysterny na drodze krajowej nr 46. utrudnienia w przejeździe" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/601017420-1677280743/wypadek-znak-drogowy.jpg"" width=""308"" /> Nad ranem na DK-46 w gminie Olsztyn w okolicach wsi Przymiłowice przewróciła się cysterna z propanem. Na miejscu cały czas jest policja oraz straż..."
"pl_POL_wp_int" "2017-05-22 10:32:00" "Wiceminister sprawiedliwości: trudno mówić, że to byli policjanci. To byli bandyci w mundurach " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/766293946--1598923164/marcin-warchol.jpg"" width=""308"" /> Wiceminister sprawiedliwości Marcin Warchoł zapewnił, że sprawa śmierci Igora Stachowiaka we wrocławskim komisariacie nie zostanie &" "34;zamieciona pod..."
"pl_POL_wp_int" "2017-05-22 10:30:00" "Śmierć po wypiciu ""paliwa F-16"". Policja ostrzega: to nie alkohol" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/504265004--1876073785/butelka-alkohol.jpg"" width=""308"" /> Tragedia w Świdnicy na Dolnym Śląsku. Dwie osoby nie żyją, a dwie kolejne poważnie zatruły się po wypiciu mikstury nazywanej &" "34;paliwem rakietowym&" "34;..."
"pl_POL_wp_int" "2017-05-22 10:17:00" "Pobicie gimnazjalistki w Gdańsku. Można było tego uniknąć" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1780164914-1835339128/pobicie-gimnazjalistki.jpg"" width=""308"" /> Przed szkołą w Gdańsku agresywne nastolatki pobiły swoją rówieśniczkę. Ciągnęły ją za włosy, okładały pięściami i kopały po głowie. Czy musiało do..."
"pl_POL_wp_int" "2017-05-22 10:11:00" "Macierewicz zdecydowanie broni WOT. ""Nazywanie ich 'mięsem armatnim' jest haniebne i niegodne""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2026767604-1015699745/macierewicz.jpg"" width=""308"" /> Antoni Macierewicz ocenił, że nazywanie Wojsk Obrony Terytorialnej &" "34;mięsem armatnim&" "34; jest haniebne. Szef MON uważa, że zawsze w historii były..."
"pl_POL_wp_int" "2017-05-22 10:08:00" "Krystyna Pawłowicz znów w natarciu. Uderza w jednego z prawników" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/153777799--1619925372/pawlowicz.jpg"" width=""308"" /> Na cenzurowanym posłanki PiS znalazł się prof. Wojciech Popiołek z Wydziału Prawa Uniwersytetu Śląskiego, który na sobotnim Kongresie Prawników w..."
"pl_POL_wp_int" "2017-05-22 09:50:00" "Straż Miejska i prezes Cepelii spotkali się w sądzie. Powód zaskakuje" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1115890735--1830440630/bezdomni-centrum.jpg"" width=""308"" /> Szef Fundacji Cepelia, Jan Włostowski od lat walczy z odpadami, których całe tony pod drzwi jego sklepu znosi bezdomny. Straż Miejska zareagowała i..."
"pl_POL_wp_int" "2017-05-22 09:39:00" "Limuzyną na spotkanie z Bogiem. 8-latka podjechała niczym celebryci z Warsaw Shore" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1914434341-1386043613/komunia-swieta.jpg"" width=""308"" /> Jedna z użytkowniczek Facebooka opublikowała zdjęcie, które jednocześnie może wywołać szok i zniesmaczenie. Pod jeden z polskich kościołów, na..."
"pl_POL_wp_int" "2017-05-22 09:20:00" "Jak działa Kukiz'15? Piotr Liroy-Marzec: Paweł nie może nikomu rozkazywać" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/781515009--1066472667/liroy-piotr-marzec.jpg"" width=""308"" /> - Skłamałbym, mówiąc, że się nie kłócę z Pawłem - mówił o swoich relacjach z liderem Kukiz&" "x27;15 poseł Piotr Liroy-Marzec. Zwrócił uwagę, że posłowie..."
