"1420829"	"en_SGP_twoday_int"	"2014-04-29 13:09:28"	"EU sanctions 15 politicians and military leaders over Ukraine"	"EU"
"1427676"	"en_SGP_twoday_int"	"2014-04-29 23:10:57"	"EU imposes more sanctions on Russia over Ukraine crisis"	"EU"
"1455093"	"en_SGP_twoday_int"	"2014-05-01 23:11:48"	"UNESCO slams Australia’s plan to dump sand near Great Barrier Reef"	"UN"
"1526786"	"en_SGP_twoday_int"	"2014-05-07 22:15:14"	"Japan, worried about China, strengthens ties with NATO"	"NATO"
"1557803"	"en_SGP_twoday_int"	"2014-05-10 15:16:15"	"ASEAN urges restraint in South China Sea disputes"	"ASEAN"
"1563448"	"en_SGP_twoday_int"	"2014-05-11 08:23:20"	"ASEAN must be ‘bold’ on integrated community: PM Lee"	"ASEAN"
"1568614"	"en_SGP_twoday_int"	"2014-05-11 22:16:58"	"ASEAN urges self-restraint in disputes with China"	"ASEAN"
"1576840"	"en_SGP_twoday_int"	"2014-05-12 16:17:18"	"UN agency seeks flight-tracking solution after Malaysia jet loss"	"UN"
"1580606"	"en_SGP_twoday_int"	"2014-05-12 22:17:27"	"No change in policy allowing EU migrants to work in Britain"	"EU"
"1589329"	"en_SGP_twoday_int"	"2014-05-13 15:18:00"	"UN weighs laws for future ‘killer robots’"	"UN"
"1608100"	"en_SGP_twoday_int"	"2014-05-14 23:09:39"	"ASEAN weathering storms, making progress"	"ASEAN"
"1608095"	"en_SGP_twoday_int"	"2014-05-14 23:09:39"	"Can ASEAN unite for security?"	"ASEAN"
"1663117"	"en_SGP_twoday_int"	"2014-05-19 22:54:48"	"China demands ASEAN remain neutral in South China Sea dispute"	"ASEAN"
"1669946"	"en_SGP_twoday_int"	"2014-05-20 12:55:01"	"End of mandate for EU's Ashton raises questions over Iran talks"	"EU"
"1676320"	"en_SGP_twoday_int"	"2014-05-20 22:55:12"	"UN says Asia’s demand for drugs drives production to record levels"	"UN"
"1682554"	"en_SGP_twoday_int"	"2014-05-21 11:55:24"	"""Selfies"" and social media fail to entice young EU voters"	"EU"
"1694667"	"en_SGP_twoday_int"	"2014-05-22 08:55:40"	"France's Sarkozy calls for two-speed EU, tighter borders"	"EU"
"1697062"	"en_SGP_twoday_int"	"2014-05-22 12:55:42"	"Polls show rise for far right as EU votes"	"EU"
"1697063"	"en_SGP_twoday_int"	"2014-05-22 12:55:42"	"Some Russian forces may be preparing to withdraw from Ukraine border - NATO"	"NATO"
"1697069"	"en_SGP_twoday_int"	"2014-05-22 12:55:42"	"France's Sarkozy calls for two-speed EU, tighter borders"	"EU"
"1698391"	"en_SGP_twoday_int"	"2014-05-22 14:55:44"	"Polls show rise for far right as EU votes"	"EU"
"1698393"	"en_SGP_twoday_int"	"2014-05-22 14:55:44"	"Some Russian forces may be preparing to withdraw from Ukraine border: NATO"	"NATO"
"1700829"	"en_SGP_twoday_int"	"2014-05-22 17:55:46"	"Russia, China veto UN bid to refer Syria to international court"	"UN"
"1700828"	"en_SGP_twoday_int"	"2014-05-22 17:55:46"	"Russia moves some troops away from Ukraine; NATO says big force remains"	"NATO"
"1706014"	"en_SGP_twoday_int"	"2014-05-23 02:56:05"	"Far right suffers Dutch surprise as EU vote begins"	"EU"
"1707725"	"en_SGP_twoday_int"	"2014-05-23 06:56:08"	"UN Security Council officially declares Boko Haram a terrorist group"	"UN"
"1710426"	"en_SGP_twoday_int"	"2014-05-23 11:56:13"	"Russia will respond to increased NATO activity near border - top general"	"NATO"
"1712958"	"en_SGP_twoday_int"	"2014-05-23 15:56:16"	"Russia will respond to increased NATO activity near border - top general"	"NATO"
"1719153"	"en_SGP_twoday_int"	"2014-05-24 04:56:31"	"UK's anti-EU party makes big gains in local elections"	"EU"
"1729174"	"en_SGP_twoday_int"	"2014-05-25 09:57:00"	"EU election: This time it's different, or maybe not"	"EU"
"1740073"	"en_SGP_twoday_int"	"2014-05-26 08:57:25"	"Big wins for French far right, Britain's UKIP rock EU elections"	"EU"
"1740661"	"en_SGP_twoday_int"	"2014-05-26 09:57:26"	"Airlines seek real-time aircraft tracking after MH370 mystery: UN official"	"UN"
"1742957"	"en_SGP_twoday_int"	"2014-05-26 13:57:29"	"UK's Cameron rebuffs calls for early EU referendum after election loss"	"EU"
"1747476"	"en_SGP_twoday_int"	"2014-05-26 20:57:36"	"Eurosceptic election surge gives EU a headache"	"EU"
"1748485"	"en_SGP_twoday_int"	"2014-05-26 22:57:38"	"Eurosceptics in France and UK gain big wins in EU polls"	"EU"
"1755900"	"en_SGP_twoday_int"	"2014-05-27 13:57:54"	"Next round of Iran nuclear talks set for June 16-20 in Vienna: EU"	"EU"
"1757354"	"en_SGP_twoday_int"	"2014-05-27 15:57:56"	"Populist advances set to hobble EU integration"	"EU"
"1759473"	"en_SGP_twoday_int"	"2014-05-27 18:57:58"	"Economic slowdown tied to rise in obesity in richer nations - OECD"	"OECD"
"1760786"	"en_SGP_twoday_int"	"2014-05-27 20:58:00"	"After seismic elections, EU leaders assess damage"	"EU"
"1798677"	"en_SGP_twoday_int"	"2014-05-30 19:59:21"	"Merkel faces German backlash for ignoring voters on EU top job"	"EU"
"1801253"	"en_SGP_twoday_int"	"2014-05-31 01:59:25"	"NATO says bulk of Russian troops pulling back from Ukraine border"	"NATO"
