"184504"	"en_GBR_dailyt_int"	"2014-01-17 17:26:39"	"Child soldiers fighting in South Sudan conflict, says United Nations"	"UN"
"205494"	"en_GBR_dailyt_int"	"2014-01-21 02:26:34"	"United Nations withdraws Iran invitation to save Syria peace talks"	"UN"
"206021"	"en_GBR_dailyt_int"	"2014-01-21 04:26:34"	"United Nations running out of food aid for displaced in Central African Republic"	"UN"
"206801"	"en_GBR_dailyt_int"	"2014-01-21 07:26:34"	"United Nations running out of food aid for displaced in Central African Republic"	"UN"
"484557"	"en_GBR_dailyt_int"	"2014-02-28 09:15:22"	"Angela Merkel dents David Cameron's hopes for overhaul of European Union"	"EU"
"1628767"	"en_GBR_dailyt_int"	"2014-05-16 14:09:40"	"EU elections 2014: What has the European Union done for us?"	"EU"
"1690129"	"en_GBR_dailyt_int"	"2014-05-21 22:57:32"	"10,000 European Union officials better paid than David Cameron"	"EU"
"2137453"	"en_GBR_dailyt_int"	"2014-07-02 19:57:28"	"Britain must stay in European Union, says Matteo Renzi, as Italy takes over EU presidency"	"EU"
"2406286"	"en_GBR_dailyt_int"	"2014-07-28 11:07:23"	"Gaza: United Nations security council calls for 'immediate and unconditional ceasefire'"	"UN"
"2951947"	"en_GBR_dailyt_int"	"2014-09-16 20:34:54"	"Leonardo DiCaprio named as United Nations climate change envoy"	"UN"
"3058558"	"en_GBR_dailyt_int"	"2014-09-25 19:39:19"	"Victoria Beckham appears at United Nations rather than open her new fashion store"	"UN"
"3078232"	"en_GBR_dailyt_int"	"2014-09-27 14:15:59"	"Palestinian leader lays out plans for United Nations statehood vote"	"UN"
"3137139"	"en_GBR_dailyt_int"	"2014-10-02 15:16:42"	"Ebola 'could become airborne': United Nations warns of 'nightmare scenario' as virus spreads to the US"	"UN"
"3564854"	"en_GBR_dailyt_int"	"2014-11-07 16:36:34"	"George Osborne: Britain to pay half of disputed European Union £1.7billion bill"	"EU"
"3565518"	"en_GBR_dailyt_int"	"2014-11-07 17:36:34"	"George Osborne: Britain to pay half of disputed European Union £1.7billion bill"	"EU"
"3688032"	"en_GBR_dailyt_int"	"2014-11-18 16:42:56"	"United Nations to vote on whether Kim Jong-un should be charged with crimes against humanity"	"UN"
"3722786"	"en_GBR_dailyt_int"	"2014-11-21 08:43:20"	"United Nations sways to the beat of Imagine as global sing-along project unveiled"	"UN"
"3723378"	"en_GBR_dailyt_int"	"2014-11-21 09:43:20"	"United Nations sways to the beat of Imagine as global sing-along project unveiled"	"UN"
"4103163"	"en_GBR_dailyt_int"	"2014-12-26 01:59:33"	"Shabaab fighters attack African Union HQ in Mogadishu"	"AU"
"4496537"	"en_GBR_dailyt_int"	"2015-01-30 02:08:50"	"African Union calls for 7,500-strong force to fight Boko Haram"	"AU"
"5345655"	"en_GBR_dailyt_int"	"2015-03-09 23:40:33"	"David Cameron snubbed at United Nations as Lansley nomination ignored"	"UN"
"5681858"	"en_GBR_dailyt_int"	"2015-03-24 20:19:38"	"Russia fails in its attack on gay rights at the United Nations"	"UN"
"7463729"	"en_GBR_dailyt_int"	"2015-06-14 12:33:03"	"ICC calls on South Africa to arrest Omar al-Bashir at African Union summit"	"AU"
"3137139"	"en_GBR_dailyt_int"	"2014-10-02 15:16:42"	"Ebola 'could become airborne': United Nations warns of 'nightmare scenario' as virus spreads to the US"	"UN"
"3564854"	"en_GBR_dailyt_int"	"2014-11-07 16:36:34"	"George Osborne: Britain to pay half of disputed European Union £1.7billion bill"	"EU"
"3688032"	"en_GBR_dailyt_int"	"2014-11-18 16:42:56"	"United Nations to vote on whether Kim Jong-un should be charged with crimes against humanity"	"UN"
"3722786"	"en_GBR_dailyt_int"	"2014-11-21 08:43:20"	"United Nations sways to the beat of Imagine as global sing-along project unveiled"	"UN"
"4103163"	"en_GBR_dailyt_int"	"2014-12-26 01:59:33"	"Shabaab fighters attack African Union HQ in Mogadishu"	"AU"
