"1522863"	"es_MEX_univer_int"	"2014-05-07 16:15:21"	"Unión Africana condena secuestro de niñas en Nigeria"	"UA"
"2002899"	"es_MEX_univer_int"	"2014-06-17 21:24:43"	"Unión Europea extiende préstamo a Ucrania"	"UE"
"2012118"	"es_MEX_univer_int"	"2014-06-22 00:29:43"	"Comité de la Unión Africana preocupado por los niños"	"UA"
"2372671"	"es_MEX_univer_int"	"2014-07-24 23:08:12"	"Unión Europea plantea ataque a economía de Rusia"	"UE"
"2789150"	"es_MEX_univer_int"	"2014-08-30 20:30:15"	"Designa Unión Europea a sus nuevos líderes"	"UE"
"3041253"	"es_MEX_univer_int"	"2014-09-24 13:04:40"	"Unión Europea pide reformas inclusivas en Tailandia"	"UE"
"4418796"	"es_MEX_univer_int"	"2015-01-19 22:00:28"	"Mantiene Unión Europea sanciones a Rusia"	"UE"
"4503992"	"es_MEX_univer_int"	"2015-01-30 10:10:00"	"Unión Africana pide soldados para luchar contra Boko Haram"	"UA"
"4638978"	"es_MEX_univer_int"	"2015-02-05 13:14:07"	"Unión Africana ultima planes para luchar contra Boko Haram"	"UA"
"5675209"	"es_MEX_univer_int"	"2015-03-24 14:20:27"	"Unión Europea lamenta accidente de avión en Francia"	"UE"
"7729683"	"es_MEX_univer_int"	"2015-06-26 10:37:44"	"Unión Europea acepta reubicar a 40 mil migrantes"	"UE"
